run_id	system.params.theta	network.params.seed	run.seed
theta_01_g00_n00	0.0020000000000000005	0	0
theta_01_g00_n01	0.0020000000000000005	0	1
theta_01_g00_n02	0.0020000000000000005	0	2
theta_01_g01_n00	0.0020000000000000005	1	3
theta_01_g01_n01	0.0020000000000000005	1	4
theta_01_g01_n02	0.0020000000000000005	1	5
theta_01_g02_n00	0.0020000000000000005	2	6
theta_01_g02_n01	0.0020000000000000005	2	7
theta_01_g02_n02	0.0020000000000000005	2	8
theta_01_g03_n00	0.0020000000000000005	3	9
theta_01_g03_n01	0.0020000000000000005	3	10
theta_01_g03_n02	0.0020000000000000005	3	11
theta_01_g04_n00	0.0020000000000000005	4	12
theta_01_g04_n01	0.0020000000000000005	4	13
theta_01_g04_n02	0.0020000000000000005	4	14
theta_02_g00_n00	0.0025000000000000005	5	15
theta_02_g00_n01	0.0025000000000000005	5	16
theta_02_g00_n02	0.0025000000000000005	5	17
theta_02_g01_n00	0.0025000000000000005	6	18
theta_02_g01_n01	0.0025000000000000005	6	19
theta_02_g01_n02	0.0025000000000000005	6	20
theta_02_g02_n00	0.0025000000000000005	7	21
theta_02_g02_n01	0.0025000000000000005	7	22
theta_02_g02_n02	0.0025000000000000005	7	23
theta_02_g03_n00	0.0025000000000000005	8	24
theta_02_g03_n01	0.0025000000000000005	8	25
theta_02_g03_n02	0.0025000000000000005	8	26
theta_02_g04_n00	0.0025000000000000005	9	27
theta_02_g04_n01	0.0025000000000000005	9	28
theta_02_g04_n02	0.0025000000000000005	9	29
theta_03_g00_n00	0.003000000000000001	10	30
theta_03_g00_n01	0.003000000000000001	10	31
theta_03_g00_n02	0.003000000000000001	10	32
theta_03_g01_n00	0.003000000000000001	11	33
theta_03_g01_n01	0.003000000000000001	11	34
theta_03_g01_n02	0.003000000000000001	11	35
theta_03_g02_n00	0.003000000000000001	12	36
theta_03_g02_n01	0.003000000000000001	12	37
theta_03_g02_n02	0.003000000000000001	12	38
theta_03_g03_n00	0.003000000000000001	13	39
theta_03_g03_n01	0.003000000000000001	13	40
theta_03_g03_n02	0.003000000000000001	13	41
theta_03_g04_n00	0.003000000000000001	14	42
theta_03_g04_n01	0.003000000000000001	14	43
theta_03_g04_n02	0.003000000000000001	14	44
theta_04_g00_n00	0.003500000000000001	15	45
theta_04_g00_n01	0.003500000000000001	15	46
theta_04_g00_n02	0.003500000000000001	15	47
theta_04_g01_n00	0.003500000000000001	16	48
theta_04_g01_n01	0.003500000000000001	16	49
theta_04_g01_n02	0.003500000000000001	16	50
theta_04_g02_n00	0.003500000000000001	17	51
theta_04_g02_n01	0.003500000000000001	17	52
theta_04_g02_n02	0.003500000000000001	17	53
theta_04_g03_n00	0.003500000000000001	18	54
theta_04_g03_n01	0.003500000000000001	18	55
theta_04_g03_n02	0.003500000000000001	18	56
theta_04_g04_n00	0.003500000000000001	19	57
theta_04_g04_n01	0.003500000000000001	19	58
theta_04_g04_n02	0.003500000000000001	19	59
theta_05_g00_n00	0.004000000000000001	20	60
theta_05_g00_n01	0.004000000000000001	20	61
theta_05_g00_n02	0.004000000000000001	20	62
theta_05_g01_n00	0.004000000000000001	21	63
theta_05_g01_n01	0.004000000000000001	21	64
theta_05_g01_n02	0.004000000000000001	21	65
theta_05_g02_n00	0.004000000000000001	22	66
theta_05_g02_n01	0.004000000000000001	22	67
theta_05_g02_n02	0.004000000000000001	22	68
theta_05_g03_n00	0.004000000000000001	23	69
theta_05_g03_n01	0.004000000000000001	23	70
theta_05_g03_n02	0.004000000000000001	23	71
theta_05_g04_n00	0.004000000000000001	24	72
theta_05_g04_n01	0.004000000000000001	24	73
theta_05_g04_n02	0.004000000000000001	24	74
theta_06_g00_n00	0.004444444444444445	25	75
theta_06_g00_n01	0.004444444444444445	25	76
theta_06_g00_n02	0.004444444444444445	25	77
theta_06_g01_n00	0.004444444444444445	26	78
theta_06_g01_n01	0.004444444444444445	26	79
theta_06_g01_n02	0.004444444444444445	26	80
theta_06_g02_n00	0.004444444444444445	27	81
theta_06_g02_n01	0.004444444444444445	27	82
theta_06_g02_n02	0.004444444444444445	27	83
theta_06_g03_n00	0.004444444444444445	28	84
theta_06_g03_n01	0.004444444444444445	28	85
theta_06_g03_n02	0.004444444444444445	28	86
theta_06_g04_n00	0.004444444444444445	29	87
theta_06_g04_n01	0.004444444444444445	29	88
theta_06_g04_n02	0.004444444444444445	29	89
theta_07_g00_n00	0.0048888888888888905	30	90
theta_07_g00_n01	0.0048888888888888905	30	91
theta_07_g00_n02	0.0048888888888888905	30	92
theta_07_g01_n00	0.0048888888888888905	31	93
theta_07_g01_n01	0.0048888888888888905	31	94
theta_07_g01_n02	0.0048888888888888905	31	95
theta_07_g02_n00	0.0048888888888888905	32	96
theta_07_g02_n01	0.0048888888888888905	32	97
theta_07_g02_n02	0.0048888888888888905	32	98
theta_07_g03_n00	0.0048888888888888905	33	99
theta_07_g03_n01	0.0048888888888888905	33	100
theta_07_g03_n02	0.0048888888888888905	33	101
theta_07_g04_n00	0.0048888888888888905	34	102
theta_07_g04_n01	0.0048888888888888905	34	103
theta_07_g04_n02	0.0048888888888888905	34	104
theta_08_g00_n00	0.005333333333333335	35	105
theta_08_g00_n01	0.005333333333333335	35	106
theta_08_g00_n02	0.005333333333333335	35	107
theta_08_g01_n00	0.005333333333333335	36	108
theta_08_g01_n01	0.005333333333333335	36	109
theta_08_g01_n02	0.005333333333333335	36	110
theta_08_g02_n00	0.005333333333333335	37	111
theta_08_g02_n01	0.005333333333333335	37	112
theta_08_g02_n02	0.005333333333333335	37	113
theta_08_g03_n00	0.005333333333333335	38	114
theta_08_g03_n01	0.005333333333333335	38	115
theta_08_g03_n02	0.005333333333333335	38	116
theta_08_g04_n00	0.005333333333333335	39	117
theta_08_g04_n01	0.005333333333333335	39	118
theta_08_g04_n02	0.005333333333333335	39	119
theta_09_g00_n00	0.005777777777777779	40	120
theta_09_g00_n01	0.005777777777777779	40	121
theta_09_g00_n02	0.005777777777777779	40	122
theta_09_g01_n00	0.005777777777777779	41	123
theta_09_g01_n01	0.005777777777777779	41	124
theta_09_g01_n02	0.005777777777777779	41	125
theta_09_g02_n00	0.005777777777777779	42	126
theta_09_g02_n01	0.005777777777777779	42	127
theta_09_g02_n02	0.005777777777777779	42	128
theta_09_g03_n00	0.005777777777777779	43	129
theta_09_g03_n01	0.005777777777777779	43	130
theta_09_g03_n02	0.005777777777777779	43	131
theta_09_g04_n00	0.005777777777777779	44	132
theta_09_g04_n01	0.005777777777777779	44	133
theta_09_g04_n02	0.005777777777777779	44	134
theta_10_g00_n00	0.006222222222222224	45	135
theta_10_g00_n01	0.006222222222222224	45	136
theta_10_g00_n02	0.006222222222222224	45	137
theta_10_g01_n00	0.006222222222222224	46	138
theta_10_g01_n01	0.006222222222222224	46	139
theta_10_g01_n02	0.006222222222222224	46	140
theta_10_g02_n00	0.006222222222222224	47	141
theta_10_g02_n01	0.006222222222222224	47	142
theta_10_g02_n02	0.006222222222222224	47	143
theta_10_g03_n00	0.006222222222222224	48	144
theta_10_g03_n01	0.006222222222222224	48	145
theta_10_g03_n02	0.006222222222222224	48	146
theta_10_g04_n00	0.006222222222222224	49	147
theta_10_g04_n01	0.006222222222222224	49	148
theta_10_g04_n02	0.006222222222222224	49	149
theta_11_g00_n00	0.006666666666666668	50	150
theta_11_g00_n01	0.006666666666666668	50	151
theta_11_g00_n02	0.006666666666666668	50	152
theta_11_g01_n00	0.006666666666666668	51	153
theta_11_g01_n01	0.006666666666666668	51	154
theta_11_g01_n02	0.006666666666666668	51	155
theta_11_g02_n00	0.006666666666666668	52	156
theta_11_g02_n01	0.006666666666666668	52	157
theta_11_g02_n02	0.006666666666666668	52	158
theta_11_g03_n00	0.006666666666666668	53	159
theta_11_g03_n01	0.006666666666666668	53	160
theta_11_g03_n02	0.006666666666666668	53	161
theta_11_g04_n00	0.006666666666666668	54	162
theta_11_g04_n01	0.006666666666666668	54	163
theta_11_g04_n02	0.006666666666666668	54	164
theta_12_g00_n00	0.007111111111111113	55	165
theta_12_g00_n01	0.007111111111111113	55	166
theta_12_g00_n02	0.007111111111111113	55	167
theta_12_g01_n00	0.007111111111111113	56	168
theta_12_g01_n01	0.007111111111111113	56	169
theta_12_g01_n02	0.007111111111111113	56	170
theta_12_g02_n00	0.007111111111111113	57	171
theta_12_g02_n01	0.007111111111111113	57	172
theta_12_g02_n02	0.007111111111111113	57	173
theta_12_g03_n00	0.007111111111111113	58	174
theta_12_g03_n01	0.007111111111111113	58	175
theta_12_g03_n02	0.007111111111111113	58	176
theta_12_g04_n00	0.007111111111111113	59	177
theta_12_g04_n01	0.007111111111111113	59	178
theta_12_g04_n02	0.007111111111111113	59	179
theta_13_g00_n00	0.0075555555555555575	60	180
theta_13_g00_n01	0.0075555555555555575	60	181
theta_13_g00_n02	0.0075555555555555575	60	182
theta_13_g01_n00	0.0075555555555555575	61	183
theta_13_g01_n01	0.0075555555555555575	61	184
theta_13_g01_n02	0.0075555555555555575	61	185
theta_13_g02_n00	0.0075555555555555575	62	186
theta_13_g02_n01	0.0075555555555555575	62	187
theta_13_g02_n02	0.0075555555555555575	62	188
theta_13_g03_n00	0.0075555555555555575	63	189
theta_13_g03_n01	0.0075555555555555575	63	190
theta_13_g03_n02	0.0075555555555555575	63	191
theta_13_g04_n00	0.0075555555555555575	64	192
theta_13_g04_n01	0.0075555555555555575	64	193
theta_13_g04_n02	0.0075555555555555575	64	194
theta_14_g00_n00	0.008000000000000002	65	195
theta_14_g00_n01	0.008000000000000002	65	196
theta_14_g00_n02	0.008000000000000002	65	197
theta_14_g01_n00	0.008000000000000002	66	198
theta_14_g01_n01	0.008000000000000002	66	199
theta_14_g01_n02	0.008000000000000002	66	200
theta_14_g02_n00	0.008000000000000002	67	201
theta_14_g02_n01	0.008000000000000002	67	202
theta_14_g02_n02	0.008000000000000002	67	203
theta_14_g03_n00	0.008000000000000002	68	204
theta_14_g03_n01	0.008000000000000002	68	205
theta_14_g03_n02	0.008000000000000002	68	206
theta_14_g04_n00	0.008000000000000002	69	207
theta_14_g04_n01	0.008000000000000002	69	208
theta_14_g04_n02	0.008000000000000002	69	209
